Territory,Division,GDOS_ID,Name,Address,Phone,Zip,Duplicate,DoNotImport,Reason
USE,Adult Rehabilitation Centers Command (USE),2c9f6002975934ae0197593930700000,Pop Pop's Mini Mkt,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3ea130003,WB Salvation Army,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3ecca0006,Franklin Public Works,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3ef2c0009,SA Dropbox,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3f29d000c,Brownfield Transfer Station,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3f49e000f,Cleveland Temple Corps,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3f7c60012,Ohio City Corps,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f6d249680e70e019680f3faec0017,City Mission,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),2c9f721b97593576019759392eaf0002,john Store,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50c06eba0150d13ce038000c,A-1 MARKET,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50c06eba0150d13cff6d000f,TOWER'S LIQUOR MART,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50d224720150db89d7530000,United Baptist Christian Church,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50d224720150db8a15310003,Fire House Tavern,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d140150fa71296e0000,St. Matthias Episcopal Church,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d140150fa7149180003,Thropes Organic Family Farm,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d140150fa7168b90006,Marilla Town Hall,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cb0264005f,Old Time Baptist Church,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cb40500062,Bluebird Motel,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cb7da10065,Orleans Learning Center,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cbbc240068,White Chapel Memorial Park,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cc018c006b,Book Outlet,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cc5f3c006e,Village of Lyndonville,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128cc8cfb0071,St. Johnsburg Fire Company,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec50f78d14015128ccbb070074,Depew Fire Hall,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec513ae8a401515c4c8ccc000f,Casco   Transfer,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec513ae8a401515c4d06de0015,Eliot Transfer Station ,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec517c5aa3015239badc2e00ca,Sabattus Transfer Station,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec517c5aa3015239bb3ac000cd,Harrison Transfer Station,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a0400ec517c5aa301523a05e6d300d3,Donna's Daycare,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f015098966c400003,"HYANNIS ""SA CORP""",,,,True,True,Marked as duplicate location
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150cc16626d0015,ATLANTIC FUEL,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150cc1681820018,Salvation Army Donation Box,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150cc16a161001b,DRINKWATER TRAILER SALES,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150db8a59a30029,Wilson Town Clerks Office,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150db8a97f9002c,Faith United Presbyterian Church,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150f02404c5002f,Genesee Comminuty College,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150f02425b30032,Miracle Missions,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a4d8ad65095338f0150f02445bc0035,Wayside Presblyterian Church,,,,False,True,Marked do not import
